Date	Start time	Leadtext	name	org name	episode nr	Season number	Widescreen (16:9)	Duration (minutes)	Parental rating	B-line	Category	Country of Origin	Production Year	Genre	Logline	Synopsis this episode	Guests this episode	Synopsis	Cast	Director	Guest	Host	Commentator	Voice	Rerun	Extra information	Unique ID	Category Num	Last episode this season	HD
	23:00		Playdate	Playdate					15	USA trilleri 2012	ELOKUVAT	Yhdysvallat	2012	Trilleri	Valentinen perhe ep‰ilee t‰ss‰ trilleriss‰, ett‰ uudet naapurit k‰ytt‰v‰t lapsiaan hyv‰kseen, mutta pian selvi‰‰, ett‰ n‰m‰ yritt‰v‰tkin vain peitell‰ karmeaa totuutta yhdest‰ pojastaan. USA 2012.			Valentinen perhe ep‰ilee t‰ss‰ trilleriss‰, ett‰ uudet naapurit k‰ytt‰v‰t lapsiaan hyv‰kseen, mutta pian selvi‰‰, ett‰ n‰m‰ yritt‰v‰tkin vain peitell‰ karmeaa totuutta yhdest‰ pojastaan. USA 2012.	Marguerite Moreau (Emily Valentine), Richard Ruccolo (Brian Valentine), Abby Brammell (Tamara), Natalie Alyn Lind (Olive), Julien Dean Lacroix (Titus Moor) 	Andrew C. Erin							2058379	1		false
	00:59		END	END							UUTISET/AJANKOHTAISOHJELMAT																157381	2		false
2013-04-03	05:00		Silent House 	Silent House				85	15	USA/Ranska kauhu 2011	ELOKUVAT	Iso-Britannia	2011	Kauhu/Trilleri	Kauhuelokuva nuoresta naisesta, joka j‰‰ loukkuun syrj‰iseen kes‰mˆkkiin eik‰ saa yhteytt‰ ulkomaailmaan. Talossa ja sen ymp‰rill‰ alkaa tapahtua pahaenteisi‰ asioita. USA/Ranska 2011.			Kauhuelokuva nuoresta naisesta, joka j‰‰ loukkuun syrj‰iseen kes‰mˆkkiin eik‰ saa yhteytt‰ ulkomaailmaan. Talossa ja sen ymp‰rill‰ alkaa tapahtua pahaenteisi‰ asioita. USA/Ranska 2011.		Chris Kentis, Laura Lau							1958595	1		false
	07:00		Inception	Inception				148	12	USA toiminta 2010	ELOKUVAT	Yhdysvallat	2010	Toiminta/Seikkailu/Scifi	Leonardo DiCaprion t‰hditt‰m‰ss‰ toimintaelokuvassa matkustetaan unien maailmaan. Alitajuntaan k‰tkettyjen salaisuuksien pihist‰miseen erikoistunut vainottu varas saa uuden tilaisuuden. USA 2010.			Leonardo DiCaprion t‰hditt‰m‰ss‰ toimintaelokuvassa matkustetaan unien maailmaan. Alitajuntaan k‰tkettyjen salaisuuksien pihist‰miseen erikoistunut vainottu varas saa uuden tilaisuuden. USA 2010.	Leonardo DiCaprio (Cobb), Joseph Gordon-Levitt (Arthur), Ellen Page (Ariadne), Marion Cotillard (Mal), Tom Hardy (Eames) 	Christopher Nolan							1970748	1		false
	09:30		Vantage Point - askeleen edell‰	Vantage Point			X	90	U	USA toiminta 2008	ELOKUVAT	Yhdysvallat	2008	Toiminta/Rikos/Draama/Trilleri	USA:n presidentti yritet‰‰n murhata, kun h‰n pit‰‰ puhetta Espanjassa. Tapahtumasta kerrotaan useiden ihmisten silmin. Dennis Quaid ja Matthew Fox esitt‰v‰t Salaisen palvelun agentteja. USA 2008.			USA:n presidentti yritet‰‰n murhata, kun h‰n pit‰‰ puhetta Espanjassa. Tapahtumasta kerrotaan useiden ihmisten silmin. Dennis Quaid ja Matthew Fox esitt‰v‰t Salaisen palvelun agentteja. USA 2008.	Dennis Quaid (Thomas Barnes), Matthew Fox (Kent Taylor), Forest Whitaker (Howard Lewis), Bruce McGill (Phil McCullough), William Hurt (President Ashton) 	Pete Travis							1585642	1		false
	11:00		The Warrior's Way	The Warrior's Way			X	100	15	USA fantasial‰nkk‰ri 2010	ELOKUVAT	Uusi-Seelanti	2010	Toiminta/Fantasia/Western	Visuaalisesti n‰ytt‰v‰ fantasial‰nkk‰ri maailman parhaasta miekkailijasta, joka l‰htee etsim‰‰n vanhaa yst‰v‰‰ Villist‰ l‰nnest‰. P‰‰osissa Dong-gun Jang, Kate Bosworth ja Geoffrey Rush. USA 2010.			Visuaalisesti n‰ytt‰v‰ fantasial‰nkk‰ri maailman parhaasta miekkailijasta, joka l‰htee etsim‰‰n vanhaa yst‰v‰‰ Villist‰ l‰nnest‰. P‰‰osissa Dong-gun Jang, Kate Bosworth ja Geoffrey Rush. USA 2010.	Dong-gun Jang (Yang), Kate Bosworth (Lynne), Geoffrey Rush (Ronald), Danny Huston (Colonel), Tony Cox (Eight-ball) 	Sngmoo Lee							1936605	1		false
	13:00		Catch .44	Catch .44				94	15	USA toiminta 2011	ELOKUVAT	Yhdysvallat	2011	Toiminta/Draama/Trilleri	Bruce Willisin esitt‰m‰ gangsteripomo Mel antaa kolmelle naispuoliselle k‰tyrilleen teht‰v‰ksi est‰‰ huumekaupat. Siit‰ alkaa ketjureaktio, joka pist‰‰ kaiken sekaisin. USA 2011.			Bruce Willisin esitt‰m‰ gangsteripomo Mel antaa kolmelle naispuoliselle k‰tyrilleen teht‰v‰ksi est‰‰ huumekaupat. Siit‰ alkaa ketjureaktio, joka pist‰‰ kaiken sekaisin. USA 2011.	Malin Akerman (Tes), Nikki Reed (Kara), Deborah Ann Woll (Dawn), Forest Whitaker (Ronny), Bruce Willis (Mel) 	Aaron Harvey							2027443	1		false
	15:00		Kill the Irishman	Kill the Irishman			X	106	15	USA trilleri 2011	ELOKUVAT	Yhdysvallat	2011	Rikos/Trilleri	Tositarinaan perustuva trilleri Danny Greene -nimisest‰ irlantilaisesta roistosta, joka toimi mafian k‰tyrin‰ 1970-luvulla Clevelandissa. Rooleissa mm. Christopher Walken ja Val Kilmer. USA 2011.			Tositarinaan perustuva trilleri Danny Greene -nimisest‰ irlantilaisesta roistosta, joka toimi mafian k‰tyrin‰ 1970-luvulla Clevelandissa. Rooleissa mm. Christopher Walken ja Val Kilmer. USA 2011.	Ray Stevenson (Danny Greene), Christopher Walken (Alex "Shondor" Birns), Val Kilmer (Joe Manditsk), Linda Cardellini (Joan Madigan), Vincent D'Onofrio (John Nardi) 	Jonathan Hensleigh							1918296	1		false
	17:00		Sahara	Sahara				124	15	USA/Espanja/Saksa seikkailu 2005	ELOKUVAT	Yhdysvallat, Espanja, Saksa	2005	Toiminta/Seikkailu/Komedia	Seikkailija Dirk Pitt l‰htee L‰nsi-Afrikan aavikolle etsim‰‰n sis‰llissodan aikana kadonnutta taistelulaivaa ja auttaa samalla avustusj‰rjestˆn l‰‰k‰ri‰ j‰ljitt‰m‰‰n tappavaa virusta.			Seikkailija Dirk Pitt l‰htee L‰nsi-Afrikan aavikolle etsim‰‰n sis‰llissodan aikana kadonnutta taistelulaivaa ja auttaa samalla avustusj‰rjestˆn l‰‰k‰ri‰ j‰ljitt‰m‰‰n tappavaa virusta.	Matthew McConaughey (Dirk Pitt), PenÈlope Cruz (Eva Rojas), Jude Akuwidike (Imam), Rakie Ayola (Mrs. Nwokolo), Robert Cavanah (Captain Tombs) 								79500	1		false
	19:00		Butterfly on a Wheel	Butterfly on a Wheel				89	15	USA/Kanada trilleri 2007	ELOKUVAT	Kanada, Iso-Britannia	2007	Rikos/Draama/Trilleri	Neil ja Abby Warner el‰v‰t amerikkalaista unelmaa, kunnes heid‰n suloinen Sophie-tytt‰rens‰ kidnapataan. Sieppaajalla ei ole mit‰‰n menetett‰v‰‰, ja Neil ja Abby ovat t‰ysin miehen armoilla.			Neil ja Abby Warner el‰v‰t amerikkalaista unelmaa, kunnes heid‰n suloinen Sophie-tytt‰rens‰ kidnapataan. Sieppaajalla ei ole mit‰‰n menetett‰v‰‰, ja Neil ja Abby ovat t‰ysin miehen armoilla.	Pierce Brosnan (Tom Ryan), Maria Bello (Abby Randall), Gerard Butler (Neil Randall), Claudette Mink (Judy), Chris Astoyan (Daniel) 								124102	1		false
